	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
mycteroperca	3455.819734	1449.204585	6.387803989	893.8397297	0	904.8732523	2.555902644	1266.587106	1556.945941	219.7179792	3512.73412	23784.65398	3348.305471	2780.204305	442.7000836	0	4499.604449	208.4900778	0	0	940.3076215	25628.91598	0	12871.8115
myrichthys	0	62.47437274	0	0	55.8093399	0	0	0	0	0	0	146.6704754	0	0	0	0	0	10.57095967	0	0	27.90466995	116.0391364	0	711.9260859
myripristis	0	364.084469	0	18445.31737	0	95.15140454	8930.685621	0	0	2715.986897	139.2261407	33.09858809	330.9858809	120.1635846	0	2889.99069	0	9287.285456	0	1994.091425	139.2261407	260.644345	68590.10599	82319.84665
narcine	0	26.06889243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negaprion	0	0	0	0	0	0	0	678.8476353	0	0	0	0	0	0	0	0	0	0	0	3794.092915	0	0	0	0
neoniphon	0	0	0	0	0	14.10702962	704.7929125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicholsina	0	48.50557213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ocyurus	2591.858032	39.11971636	258.4273501	1057.038609	0	182.1536702	248.9964354	2046.386459	0	156.2145664	0	0	0	1499.595994	4603.76645	0	0	13909.15509	0	0	34.16900089	17.90961969	0	0
odontoscion	0	531.6121487	0	64.27053549	0	0	0	0	0	1010.434787	889.0988785	1889.944667	586.0910823	0	0	0	0	1744.35329	0	0	8783.656176	13782.4354	0	0
ogcocephalus	56.52805478	60.2226538	0	53.279283	0	0	0	0	0	30.1113269	15.05566345	442.5038677	41.47239133	80.83857502	0	0	0	41.47239133	0	0	133.5096369	220.1490185	0	0
ophioblennius	0	0	0	4.748452993	39.53716794	0	48.57146225	0	0	0	0	0	0	0	0	127.4626211	0	550.8414117	0	86.43402024	192.1923144	192.8330944	4503.299773	1281.111543
opistognathus	0	0	0.666842001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3928827
orthopristis	0	167.083273	0	0	0	0	0	0	0	242.7285603	0	293.8167604	0	0	0	0	0	376.3369187	72.43857998	0	4853.771902	5957.08992	0	0
pagrus	0	1424.581279	0	0	0	0	0	0	0	0	0	0	8984.290441	0	0	0	0	0	0	0	0	812.7280227	0	0
parablennius	98.75014201	1876.769188	0	0	0	0	0	0	34.19215955	198.5066363	387.0296347	3488.316725	543.125781	0	0	0	3.900744841	0	14.96214273	0	14.96214273	6918.250116	0	0
paraclinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997482188	0	0
paralichthys	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.7352362	0	0	0	0	0	0	0
paranthias	0	302.0747782	0	0	0	0	429.1019956	0	0	1.357237286	0	0	975.6846712	0	0	672.0714979	0	59.87206073	0	133.403023	3160.125232	22.96598183	0	9445.508986
pareques	4.093376977	899.1276116	0	202.3528646	3.659670116	0	0	0	0	772.3044466	199.0679702	331.7227937	60.66478414	0	39.80597338	0	0	3493.398278	6.822294961	0	44.99138607	2938.426725	0	0
pempheris	0	566.6682475	0	0	0	0	960.9222647	199.4022263	0	161.7394356	1367.100272	4614.760933	605.3414124	0	0	434.3081235	0	2310.453874	0	1346.492523	900.0950086	135.303289	0	0
pinguipes	0	279.9915995	0	0	0	0	0	0	0	0	0	0	263.397899	0	0	0	0	0	0	0	0	0	0	0
platybelone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.8925557
