	abrolhos	arraial	belize	ceara	costa_dos_corais	cuba	curacao	florida_keys	grays_reef_nms	guarapari	ilha_gde	ilhabela	l_santos	manuel_luis	mexico_car	noronha	north_carolina	rg_norte	rio_de_janeiro	rocas	salvador_bts	santa_catarina	stpauls_rocks	trindade
4_c3_3_1	107.3296358	1049.449002	37.92794263	0	0	0	542.9394274	47.00426616	0	1121.858539	0	146.9083054	0	192.8137061	1200.210452	220.95052	0	739.2042468	0	146.9083054	107.3296358	74.04221465	0	4811.281969
4_h1_3_5	0	31639.93301	561.5209319	0	0	88.51350104	463.3745521	0	0	27253.34748	8053.119112	20777.49148	22765.15046	0	2796.074828	13119.05012	0	0	1708.782604	11206.29287	0	143767.3753	812977.5385	1571740.832
4_h2_2_3	6677.488025	9256.38118	80.15808469	1857.399822	0	0	1407.653951	1255.355504	0	5997.69438	2034.325465	37768.39777	17977.43504	6178.191314	1268.960907	2016.916336	0	11006.72301	0	5838.713661	1306.132913	9161.489316	6466.107281	0
4_h2_3_3	75022.26352	76645.30131	6374.81848	19308.37152	5509.193957	171.970612	24847.07856	17872.23557	179.5062563	42162.73886	2919.855018	107326.0472	17723.85772	19807.75107	27569.23397	71935.00104	143.5152918	146747.525	356.0290116	423264.0916	12113.03153	12525.60584	0	157673.4609
4_h2_3_4	0	0	0	0	0	0	0	0	0	0	0	0	400.825283	0	0	0	0	0	0	0	0	0	0	0
4_p_2_1	83.56215395	781.2399913	0	0	61.2528739	0	353.7843743	0	0	216.1525236	71.81024493	0	386.9494941	0	16.44844188	0	0	0	0	9.548557903	50.69550288	485.3358789	0	24.69835606
4_p_3_1	0	0	0	0	0	0	0	0	0	94.00198152	0	0	0	0	0	24.07345578	0	0	0	115.3055739	21.12668622	0	0	0
4_p_3_5	0	0	22.26572434	0	0	0	111.1438882	0	0	4118.993034	0	4021.248369	0	0	0	154.9254267	0	4121.087621	0	0	481.2967764	0	0	0
4_p_4_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263.9088129	0	0	0	724.8480449	0	0	0	131.8925557
4_p_4_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.0079443	0	0
4_z_3_5	0	302.0747782	0	0	0	0	429.1019956	0	0	1.357237286	0	0	975.6846712	0	0	672.0714979	0	59.87206073	0	133.403023	3160.125232	22.96598183	0	10846.67539
4_z_4_5	0	70.22286119	96.10972377	0	0	0	0	0	1734.410178	0	0	608.684017	0	0	0	0	74249.8292	13213.65859	0	0	4440.14037	1413.014287	0	0
5_c1_1_1	0	307.5236733	108.2148887	0	0	0	37.89767002	0	0	0	0	1418.135788	0	0	55.0314562	237.5749685	164.7352362	113.3336924	0	7116.320714	0	143.8375347	0	9155.628001
5_c1_2_1	0	490.4255479	580.1134553	682.8902506	1359.041433	66.13617812	371.9711584	173.2029121	0	0	0	0	756.1726979	173.0734805	1783.817552	238.5420172	0	4544.010737	0	226.850735	503.878446	68.15913157	12118.09798	54158.90453
5_c1_3_1	0	1335.621774	667.4514105	26081.31986	0	0	222.5464042	288.5192193	188.9265433	15.07679948	46.11852279	18205.79828	3346.910831	0	6727.685964	9332.103814	278.927866	16737.56594	0	21391.05154	901.0596723	3387.974356	53175.34457	19678.89182
5_c1_3_4	20129.95587	6502.087542	865.2892164	39537.97069	66.69637471	68.21035116	3818.192304	26785.27583	516.1282036	5442.854271	40.71133792	1492.207479	525.022953	22315.3561	27662.18993	0	345.2159131	26214.7728	0	0	8653.636504	0	0	8516.837772
5_c1_4_1	0	102.7949806	0	0	0	0	0	38.12843893	1902.907316	0	133.5397183	0	0	0	0	2578.515659	374.8801929	0	0	0	0	3806.004016	0	0
5_c1_4_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112.1158611	0	0	0	3778.380947	0	0
5_c1_4_5	0	0	0	0	0	0	0	0	0	0	0	0	1479.081143	0	0	0	0	0	0	0	0	0	0	0
5_c2_3_1	31.43606603	2055.255032	56.04762972	95.46766683	25.44856253	0	268.3948584	73.42840074	0	3078.964155	0	68.8385509	279.9341879	0	561.9452379	25.44856253	0	404.9581231	25.44856253	170.053373	278.4356393	0	89.14108354	1222.637582
5_c3_3_1	0	330.2708095	0	212.3432195	0	0	1.76041511	0	546.7170831	595.6435676	0	0	0	0	66.39574732	0	0	113.4713459	28.03538322	0	123.5613004	88.68007052	0	269.9621357
5_c3_4_3	0	0	0	0	0	0	0	194.3913824	0	0	0	0	0	0	0	43.34786289	0	0	0	0	0	68.71372849	0	0
5_d_4_5	0	1172.194579	0	0	0	0	0	0	0	0	0	275.7385767	0	0	0	0	0	0	0	0	0	723.4491926	0	0
5_h_4_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.97241275	0	0	0	0	0	5.371551594
5_h1_4_5	76.79812518	8346.204989	7879.02189	0	0	0	0	3305.775619	0	1393.739007	341.0702619	55686.34143	47655.73546	9507.357747	9878.738775	1768.581411	0	151716.8488	321.3788813	11956.07524	0	51783.52665	20394.23447	770033.1084
5_h2_2_3	925.1420837	278.2144543	645.8763944	871.5016157	1410.760863	0	66.54439975	1433.221395	0	567.3003518	0	0	0	101.3212065	954.1500341	0	0	0	0	0	18121.63317	304.6941895	0	0
5_h2_3_1	0	0	0	0	0	0	0	1401.638231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5_h2_3_3	11534.54703	1682.244871	4822.669671	187.0551176	27.25301691	46.53181724	21410.35721	9193.038164	0	81.75905074	0	2125.975577	1926.197196	13572.60493	8736.585764	7996.676689	0	23533.06438	0	1216.636806	4806.682973	875.9860886	0	111291.5835
5_p_2_1	0	1138.756113	0	0	0	0	0	0	0	20.45462547	3441.847103	23419.86819	3348.305471	0	0	0	0	0	0	0	0	24835.43074	0	0
5_p_3_1	0	124.3025008	0	1384.399687	0	0	0	0	0	1115.552283	0	0	0	0	0	137.4128128	0	222.3941319	0	0	0	0	2842.021913	0
5_p_4_5	1014.00551	6764.086843	509.0183547	258.6280265	0	0	1218.337838	1238.411084	1125.54562	2973.976747	364.6105488	38151.19725	1061.30853	722.2953876	2200.991855	1250.373482	934.6002586	797.0988594	0	212.2617059	173.3726841	16833.64758	20167.42001	9910.908987
5_z_4_1	0	0	0	0	0	0	0	235.9854601	0	0	0	0	0	0	409.0555078	645.0409679	0	0	0	0	0	0	50855.48796	28128.21379
6_c1_1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	12982.16146	0	0	0	5381.298607	0	0	0	0	0	0
6_c1_2_1	946.6779009	259.6060685	209.5021531	0	55.8093399	1064.821997	0	0	0	0	520.6230333	50493.25973	5062.339867	0	0	0	0	46.34861028	0	0	27.90466995	45191.94533	518.4942499	1076.519643
6_c1_3_1	3027.628374	6464.598462	454.4124081	3787.346642	0	0	401.9065266	1254.929965	749.9431911	654.4542198	0	659.673952	999.9242548	152787.3382	2523.974414	1070.299885	0	5872.255007	0	67108.13169	2610.664101	845.7518524	844.2968699	17798.86903
6_c1_3_3	0	1424.581279	0	0	0	0	0	0	0	0	0	0	8984.290441	0	0	0	0	0	0	0	0	812.7280227	0	0
